sample_id,fov_id,country,anisotropy,area_fraction,baseline,blob_uri,confidence,contrast_ratio,diffuse_centroid_x,diffuse_centroid_y,diffuse_circularity,diffuse_halo_flag,diffuse_radius,gcs_fetch_s,neighbor_fetch_s,notes,peak,predicted_spot_base,predicted_spot_folded,present_base,present_folded,solidity,spot_truth,tags,time_anisotropy_s,time_diffuse_fov_s,time_initial_test_s
LB-D3-2025-10-27-154305-250917412-D-thin-1-4,119,Liberia,0.0,0.4434,28.8349,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-154305-250917412-(D-thin)-1+.4_Blue/Images/IMG007x011.bmp,0.2067,2.9063,0.4861,0.1114,0.5995,True,84.85,1.6482,3.4071,diffuse,83.803,False,True,False,True,0.9919,yes,Overexposed,0.0,0.002,0.06
LB-D3-2025-10-27-155920-250713919-D-thin-3-3,169,Liberia,0.0,0.2227,11.8329,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-155920-250713919-(D-thin)-3+.3_Blue/Images/IMG010x007.bmp,0.2265,2.9833,0.0,0.0,0.0,False,0.0,1.7499,0.0,background,35.3013,False,False,False,False,0.7986,no,Overexposed,0.0,0.0011,0.0641
LB-D3-2025-10-27-173317-250917493-D-thin-2-4,82,Liberia,0.1524,0.2717,14.4396,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-173317-250917493-(D-thin)-2+.4_Blue/Images/IMG005x010.bmp,1.0,9.6256,0.1833,0.3933,0.7156,False,119.44,1.9329,0.0,,138.9896,True,True,True,True,0.9946,yes,Overexposed,0.0186,0.0027,0.0585
LB-D5-2026-01-27-112616-0240052-VFPCHC-2-2,40,Liberia,0.0,0.2673,48.1147,gs://liberia-2025/rawData4SS/LB25-D5/2026-01-27/2026-01-27-112616-0240052-(VFPCHC)+2.2_Blue/Images/IMG003x004.bmp,0.0386,2.2504,0.1895,0.068,0.4971,False,53.4,2.787,3.6355,background,108.2752,False,False,False,False,0.6977,no,Overexposed,0.0,0.0018,0.0523
KIT-62500763,200,Tanzania,0.1342,0.3694,29.657,gs://tanzania_02032026/TZ2025-Box1/KIT-62500763/fluorescent-200-KIT-62500763.png,0.2571,3.1027,0.1613,0.6003,0.7772,False,95.88,24.8049,0.0,green,92.0169,True,True,True,True,0.9846,yes,Overexposed,0.0199,0.0028,0.0332
KIT-62501035,67,Tanzania,0.0715,0.4608,39.823,gs://tanzania_02032026/TZ2025-Box2/KIT-62501035/fluorescent-067-KIT-62501035.png,0.802,5.2277,0.3962,0.6348,0.8777,False,161.59,1.0191,0.0,,208.1842,True,True,True,True,0.987,yes,Overexposed,0.0301,0.0029,0.033
KIT-62501062,83,Tanzania,0.0,0.7207,18.9734,gs://tanzania_02032026/TZ2025-Box2/KIT-62501062/fluorescent-083-KIT-62501062.png,0.0,1.3587,0.0,0.0,0.0,False,0.0,0.8403,0.0,artifact,25.7789,False,False,False,False,0.9575,no,Overexposed,0.0,0.001,0.0332
KIT-62501081,141,Tanzania,0.2852,0.2639,42.8416,gs://tanzania_02032026/TZ2025-Box2/KIT-62501081/fluorescent-141-KIT-62501081.png,0.8805,5.5339,0.1801,0.5038,0.6146,False,130.22,1.0577,0.0,double,237.0805,True,True,True,True,0.9672,yes,Overexposed,0.0157,0.0022,0.0357
KIT-62501087,271,Tanzania,0.4602,0.3794,17.8231,gs://tanzania_02032026/TZ2025-Box2/KIT-62501087/fluorescent-271-KIT-62501087.png,0.0,14.268,0.4056,0.2739,0.78,True,152.82,0.9844,1.7317,,254.3011,False,True,False,True,0.996,yes,Overexposed,0.0167,0.0026,0.0422
KTR-72502946,54,Tanzania,0.0388,0.4262,12.4405,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-054-KTR-72502946.png,0.8217,5.3045,0.266,0.5964,0.873,False,113.57,1.1398,0.0,,65.9909,True,True,True,True,0.9878,yes,"Slightly Dense, Some Rouleaux, Overexposed",0.026,0.0023,0.0353
