idx,n_cells,coverage_fraction,rouleaux_fraction,n_isolated,crenation_fraction,median_area,area_cv
171,3270,0.5125903061224489,0.1363914373088685,528,0.017045454545454544,687.5,5.392057173278831
172,3920,0.4250705357142857,0.1614795918367347,538,0.0037174721189591076,709.0,2.014591508496381
173,3813,0.4236456632653061,0.14843954891161815,558,0.008960573476702509,695.0,1.3452329992654082
174,3860,0.42595382653061226,0.14352331606217616,558,0.008960573476702509,677.5,2.389686849165639
175,3372,0.35973545918367344,0.12930011862396204,646,0.020123839009287926,699.5,1.3815237272403822
176,3790,0.39007767857142855,0.1517150395778364,681,0.013215859030837005,672.0,1.3165258811145817
177,3903,0.37923533163265305,0.1452728670253651,709,0.01692524682651622,666.0,0.9213076833161215
178,4302,0.41120433673469386,0.1515574151557415,691,0.008683068017366137,649.0,0.9948619360270037
179,4510,0.4251204081632653,0.16674057649667406,677,0.01624815361890694,633.0,1.158586180915747
180,4305,0.39293647959183675,0.14587688734030196,759,0.013175230566534914,640.0,0.9229378561461893
181,3365,0.615741581632653,0.12332838038632987,610,0.05573770491803279,341.0,20.359061237104907
182,2426,0.6504767857142857,0.14138499587798845,386,0.03367875647668394,528.5,8.355755360415236
183,2188,0.6664878826530612,0.12522851919561243,359,0.019498607242339833,485.5,7.714110598476652
184,1915,0.6244218112244898,0.13263707571801567,295,0.020338983050847456,732.0,11.170549976362796
185,1869,0.6241528061224489,0.14339218833600856,285,0.017543859649122806,710.0,7.317680369630811
186,2227,0.6252766581632653,0.141894925909295,316,0.04430379746835443,660.0,9.684809679110925
187,2536,0.6314293367346939,0.1277602523659306,408,0.029411764705882353,605.0,7.297141977472865
188,2569,0.6559246173469387,0.14285714285714285,385,0.03116883116883117,631.0,10.548033027417869
189,2852,0.6279036989795919,0.15953716690042075,406,0.017241379310344827,636.5,8.695439059444496
190,2796,0.596441581632653,0.14628040057224606,426,0.011737089201877934,692.0,7.850479933175644
191,3142,0.5672580357142857,0.14704010184595798,474,0.02109704641350211,670.0,7.035344915400394
192,3232,0.5594239795918368,0.14665841584158415,494,0.016194331983805668,594.0,7.871215106111507
193,2853,0.4469224489795918,0.14931650893796003,480,0.008333333333333333,724.0,7.188540775214525
194,2564,0.4002154336734694,0.11739469578783152,484,0.002066115702479339,760.0,5.8789051648403134
195,2976,0.47745880102040816,0.13709677419354838,521,0.005758157389635317,679.0,6.270195820029528
196,3425,0.5037742346938775,0.15503649635036496,497,0.004024144869215292,666.0,4.094831133425525
197,3087,0.44733316326530614,0.14512471655328799,459,0.0,716.0,3.350833115178885
198,3623,0.4378456632653061,0.14518354954457632,536,0.007462686567164179,692.0,2.612472920980213
199,5496,0.533867219387755,0.12008733624454149,1372,0.03498542274052478,225.0,10.726823247917341
200,4190,0.613490943877551,0.11813842482100238,1184,0.03462837837837838,204.0,16.319461840814434
201,4676,0.6193733418367346,0.12082976903336184,1225,0.03918367346938775,225.0,17.626804342167606
202,4294,0.612913137755102,0.10200279459711226,1307,0.02754399387911247,211.5,15.97397761993907
203,3531,0.6511816326530612,0.11384876805437553,871,0.04133180252583238,247.0,16.11013520884382
204,4344,0.5854118622448979,0.1141804788213628,1019,0.03532875368007851,242.0,15.198592435113047
205,4755,0.5552156887755102,0.1192429022082019,1144,0.044580419580419584,239.0,13.421698214767678
206,4086,0.619872193877551,0.11747430249632893,961,0.044745057232049947,257.0,15.881626915528848
207,3627,0.6619529336734694,0.11524676040805074,755,0.0423841059602649,278.0,16.930098928575706
208,3830,0.6139308673469388,0.1297650130548303,751,0.043941411451398134,287.0,10.227833647251156
209,3041,0.6544156887755102,0.12923380466951662,576,0.041666666666666664,349.0,14.483686000310888
210,2911,0.6630862244897959,0.1305393335623497,484,0.05991735537190083,349.0,15.732840610674064
211,2766,0.6640786989795918,0.1193058568329718,499,0.050100200400801605,335.0,21.8376063172106
212,2744,0.5703735969387755,0.1293731778425656,531,0.035781544256120526,465.0,8.988616625865555
213,2870,0.6225997448979592,0.12857142857142856,531,0.06591337099811675,417.5,16.75393040356182
214,2334,0.7050073979591837,0.1353898886032562,398,0.035175879396984924,480.0,14.789863321248454
215,2004,0.7503229591836734,0.11826347305389222,377,0.05570291777188329,436.0,12.86388606531207
