idx,density_label,crowding_label,crenation_flag,coverage_fraction,rouleaux_fraction,crenation_fraction,n_cells,n_isolated
43,monolayer,no rouleaux,normal,0.5150988520408163,0.11060668592653736,0.027642276422764227,4846,1230
44,slightly dense,slight rouleaux,normal,0.5510489795918367,0.12862910978657952,0.032090199479618386,5201,1153
45,slightly dense,no rouleaux,normal,0.5450623724489796,0.1128747795414462,0.04339440694310511,4536,1037
46,monolayer,no rouleaux,flagged,0.507290306122449,0.10841245308015014,0.05268199233716475,4529,1044
47,monolayer,slight rouleaux,normal,0.5214690051020409,0.12119366626065774,0.030697674418604652,4926,1075
48,dense,no rouleaux,normal,0.5946776785714286,0.11440773207462351,0.03286852589641434,4449,1004
49,slightly dense,slight rouleaux,normal,0.5653862244897959,0.1264227642276423,0.0283363802559415,4920,1094
50,dense,slight rouleaux,normal,0.5947320153061224,0.1237814554522784,0.03329223181257707,4411,811
51,dense,some rouleaux,normal,0.5872423469387755,0.13008687700045724,0.029166666666666667,4374,720
52,dense,slight rouleaux,normal,0.619510331632653,0.12588568729333963,0.04140526976160602,4234,797
53,very dense,slight rouleaux,normal,0.6938529336734693,0.12978550095031224,0.02643171806167401,3683,681
54,very dense,slight rouleaux,normal,0.7120795918367347,0.12730142030510258,0.018957345971563982,3802,633
55,slightly dense,no rouleaux,flagged,0.5679266581632653,0.11392028554431886,0.06073446327683616,3362,708
56,slightly dense,no rouleaux,normal,0.5705599489795918,0.11504660452729694,0.02746566791510612,3755,801
57,slightly dense,no rouleaux,normal,0.5518591836734694,0.11635455680399501,0.02666666666666667,4005,825
58,monolayer,slight rouleaux,normal,0.47370522959183675,0.12351478308925118,0.047400611620795105,3619,654
59,monolayer,some rouleaux,normal,0.4850463010204082,0.13615023474178403,0.03488372093023256,3408,516
60,slightly dense,no rouleaux,normal,0.5849413265306123,0.10866284334440085,0.021136063408190225,3313,757
61,slightly dense,no rouleaux,normal,0.5553386479591836,0.10490307867730901,0.028985507246376812,3508,897
62,slightly dense,slight rouleaux,normal,0.5433178571428572,0.12115778688524591,0.02345679012345679,3904,810
63,monolayer,no rouleaux,normal,0.5362179846938776,0.1099434114793856,0.028811524609843937,3711,833
64,monolayer,no rouleaux,normal,0.48569362244897957,0.11624013393924898,0.02464332036316472,4181,771
65,slightly dense,no rouleaux,normal,0.5610580357142857,0.10385756676557864,0.038335158817086525,3370,913
66,slightly dense,no rouleaux,normal,0.5663461734693878,0.11783107403545359,0.02905027932960894,3836,895
67,slightly dense,no rouleaux,normal,0.5442934948979592,0.11825377788438475,0.021505376344086023,4169,837
68,dense,no rouleaux,normal,0.5917427295918367,0.11440566780372606,0.01834862385321101,3811,763
69,monolayer,some rouleaux,normal,0.5273829081632653,0.13098057792515397,0.0228494623655914,4222,744
70,slightly dense,slight rouleaux,normal,0.5760349489795918,0.12465373961218837,0.029150823827629912,4332,789
71,dense,no rouleaux,normal,0.6288442602040817,0.11508258868128893,0.020581113801452784,3693,826
72,dense,slight rouleaux,normal,0.5853849489795918,0.12787586944890317,0.019938650306748466,3738,652
73,monolayer,heavy rouleaux,normal,0.4724331632653061,0.15555555555555556,0.025341130604288498,3600,513
74,monolayer,heavy rouleaux,normal,0.4553237244897959,0.15736607142857142,0.018947368421052633,3584,475
75,monolayer,heavy rouleaux,normal,0.4297252551020408,0.16207107843137256,0.024154589371980676,3264,414
76,sparse,heavy rouleaux,normal,0.389772193877551,0.15462290943515306,0.012448132780082987,3169,482
77,sparse,heavy rouleaux,normal,0.37955102040816324,0.1569377990430622,0.02386117136659436,3135,461
78,monolayer,heavy rouleaux,normal,0.42901747448979594,0.1602689829083777,0.016877637130801686,3569,474
79,sparse,some rouleaux,normal,0.406596556122449,0.13658536585365855,0.031423290203327174,3485,541
80,monolayer,heavy rouleaux,normal,0.45290484693877553,0.16394802322366603,0.02834008097165992,3617,494
81,monolayer,some rouleaux,normal,0.43759885204081633,0.13253012048192772,0.02702702702702703,3569,629
82,sparse,some rouleaux,normal,0.4122216836734694,0.1310144927536232,0.021052631578947368,3450,570
83,monolayer,some rouleaux,normal,0.4344827806122449,0.1303562209602478,0.01585014409221902,3874,694
84,monolayer,some rouleaux,normal,0.4594623724489796,0.13526570048309178,0.018995929443690638,4347,737
